endpoint_key,method,path,parameters_json,safety_class
GET:Country/GetAsNameIdForRaceCity,GET,Country/GetAsNameIdForRaceCity,"[""p_iLanguage""]",read
GET:Country/GetStallionGroupCountry,GET,Country/GetStallionGroupCountry,[],read
GET:Country/GetStallionGroupCountryByRaceId,GET,Country/GetStallionGroupCountryByRaceId,"[""p_iRaceId""]",read
GET:RaceGroup/Get,GET,RaceGroup/Get,"[""p_sRaceId""]",read
GET:RaceGroup/GetAsNameId,GET,RaceGroup/GetAsNameId,"[""p_iLanguage"", ""p_sRaceId""]",read
GET:RaceGroup/GetByTjkConditionHorseId,GET,RaceGroup/GetByTjkConditionHorseId,"[""p_iTjkConditonHorseId""]",read
GET:StallionAds/Get,GET,StallionAds/Get,"[""p_iId"", ""p_sSireId"", ""p_sYearId"", ""p_iRaceId"", ""p_iPageNo"", ""p_iPageCount""]",read
GET:StableHistory/Get,GET,StableHistory/Get,"[""p_iId"", ""p_iStableId""]",read
GET:StableHistory/GetForGallery,GET,StableHistory/GetForGallery,"[""p_iMediaTypeId"", ""p_iStableId""]",read
GET:Race/Get,GET,Race/Get,[],read
GET:Race/GetById,GET,Race/GetById,"[""p_iId""]",read
GET:Race/GetAsNameId,GET,Race/GetAsNameId,"[""p_iLanguage""]",read
GET:Race/GetAsNameIdForAds,GET,Race/GetAsNameIdForAds,"[""p_iLanguage""]",read
GET:Favorite/GetMyFavorite,GET,Favorite/GetMyFavorite,"[""p_iRaceId"", ""p_iHypo"", ""p_iAlphabetical"", ""p_iPageNo"", ""p_iPageCount""]",read
GET:Favorite/CheckFavorite,GET,Favorite/CheckFavorite,"[""p_iHorseId1"", ""piHorseId2""]",read
GET:Favorite/GetFavoriteCount,GET,Favorite/GetFavoriteCount,"[""p_iHorseId1"", ""piHorseId2""]",read
GET:StableHorseCategory/Get,GET,StableHorseCategory/Get,[],read
GET:StableHorseCategory/GetWitHorses,GET,StableHorseCategory/GetWitHorses,"[""p_iStableId""]",read
GET:StableHorseCategory/GetAsNameId,GET,StableHorseCategory/GetAsNameId,"[""p_iLanguage""]",read
GET:SystemUserType/Get,GET,SystemUserType/Get,[],read
GET:SystemUserType/GetById,GET,SystemUserType/GetById,"[""p_iId""]",read
GET:SystemUserType/GetAsNameId,GET,SystemUserType/GetAsNameId,"[""p_iLanguage""]",read
GET:RaceCity/Get,GET,RaceCity/Get,"[""p_sCountryId""]",read
GET:RaceCity/GetRaceCity,GET,RaceCity/GetRaceCity,"[""p_sDate""]",read
GET:RaceCity/GetAsNameId,GET,RaceCity/GetAsNameId,"[""p_iLanguage"", ""p_sCountryId""]",read
GET:Product/Get,GET,Product/Get,"[""p_iProductTypeId""]",read
GET:Product/GetAdsDoping,GET,Product/GetAdsDoping,[],read
GET:Product/GetById,GET,Product/GetById,"[""p_iId""]",read
GET:Product/GetByIdList,GET,Product/GetByIdList,"[""p_sIdList""]",read
GET:Product/GetAsNameId,GET,Product/GetAsNameId,"[""p_iProductTypeId"", ""p_iLanguage""]",read
GET:Horse/GetImageAndInfoById,GET,Horse/GetImageAndInfoById,"[""p_iId""]",read
GET:Horse/GetHorseReportData,GET,Horse/GetHorseReportData,"[""p_iHorseId""]",read
GET:Horse/GetCounter,GET,Horse/GetCounter,"[""p_iLanguage"", ""p_iRaceId""]",read
GET:Horse/CheckHorseAvailable,GET,Horse/CheckHorseAvailable,"[""p_sName"", ""p_iFatherId"", ""p_iMotherId""]",read
GET:Horse/GetByIdForUpdate,GET,Horse/GetByIdForUpdate,"[""p_iId""]",read
GET:TjkConditonHorse/GetMyHorse,GET,TjkConditonHorse/GetMyHorse,[],read
GET:TjkConditonHorse/GetTestHorses,GET,TjkConditonHorse/GetTestHorses,[],read
GET:TjkConditonHorse/GetById,GET,TjkConditonHorse/GetById,"[""p_iId""]",read
GET:RequestStatus/Get,GET,RequestStatus/Get,[],read
GET:Report/GetById,GET,Report/GetById,"[""p_iId""]",read
GET:Report/GetMyReport,GET,Report/GetMyReport,"[""p_iRaceId""]",read
GET:Report/GetMyReportUsage,GET,Report/GetMyReportUsage,[],read
GET:Blog/Get,GET,Blog/Get,"[""p_iBlogCategoryId"", ""p_iSelection""]",read
GET:Blog/GetWithTopCount,GET,Blog/GetWithTopCount,"[""p_iBlogCategoryId"", ""p_iTopCount"", ""p_iSelection""]",read
GET:Blog/GetById,GET,Blog/GetById,"[""p_iId""]",read
GET:RaceFloor/Get,GET,RaceFloor/Get,[],read
GET:RaceFloor/GetAsNameId,GET,RaceFloor/GetAsNameId,"[""p_iLanguage""]",read
GET:FamilyNick/GetFamilyNick,GET,FamilyNick/GetFamilyNick,"[""p_iHorseId1"", ""p_iHorseId2""]",read
GET:PregnantStatus/Get,GET,PregnantStatus/Get,[],read
GET:PregnantStatus/GetAsNameId,GET,PregnantStatus/GetAsNameId,"[""p_iLanguage""]",read
